"Name of Organization","Fiscal Year","Active Members",Timestamp
"2020 Class Board","FY 19",25,"2019-10-23 20:17:31"
"ACCESS - Students advocating for campus and educational accessibility","FY 19",35,"2019-10-23 20:17:31"
"Active Minds","FY 19",30,"2019-10-23 20:17:31"
"Actuarial Math Club","FY 19",50,"2019-10-23 20:17:31"
"African Percussion & Dance Ensemble","FY 19",16,"2019-10-23 20:17:31"
"Alpine & Nordic Ski Team","FY 19",35,"2019-10-23 20:17:31"
"American Academy of Environmental Engineers and Scientists","FY 19",15,"2019-10-23 20:17:31"
"American Chemical Society","FY 19",0,"2019-10-23 20:17:31"
"American Institute of Aeronautics & Astronautics","FY 19",45,"2019-10-23 20:17:31"
"American Institute of Chemical Engineers","FY 19",40,"2019-10-23 20:17:31"
"American Society of Civil Engineers","FY 19",40,"2019-10-23 20:17:31"
"American Society of Mechanical Engineers","FY 19",29,"2019-10-23 20:17:31"
"APICS Student Organization","FY 19",186,"2019-10-23 20:17:31"
"Architectural Engineering Institute","FY 19",40,"2019-10-23 20:17:31"
"Armenian Student Association","FY 19",7,"2019-10-23 20:17:31"
"Art and Design Club","FY 19",40,"2019-10-23 20:17:31"
"Association for Computing Machinery","FY 19",108,"2019-10-23 20:17:31"
"Badminton Club","FY 19",173,"2019-10-23 20:17:31"
"Ballroom Dance Team","FY 19",40,"2019-10-23 20:17:31"
"Biomedical Engineering Society","FY 19",105,"2019-10-23 20:17:31"
"Biotechnology Club","FY 19",20,"2019-10-23 20:17:31"
"Black Student Union","FY 19",70,"2019-10-23 20:17:31"
"Bowling Club","FY 19",40,"2019-10-23 20:17:31"
"Brazilian Student Association","FY 19",40,"2019-10-23 20:17:31"
Cheerleading,"FY 19",24,"2019-10-23 20:17:31"
"Cheese Club","FY 19",109,"2019-10-23 20:17:31"
"Chinese Student Association","FY 19",200,"2019-10-23 20:17:31"
"Choral Association","FY 19",120,"2019-10-23 20:17:31"
"Christian Bible Fellowship","FY 19",70,"2019-10-23 20:17:31"
"Club Soccer","FY 19",77,"2019-10-23 20:17:31"
"Club Tennis","FY 19",30,"2019-10-23 20:17:31"
CollabLab,"FY 19",13,"2019-10-23 20:17:31"
"Colleges Against Cancer","FY 19",50,"2019-10-23 20:17:31"
"Cricket Club","FY 19",55,"2019-10-23 20:17:31"
"Cyber Security Club","FY 19",104,"2019-10-23 20:17:31"
"Cycling Club","FY 19",16,"2019-10-23 20:17:31"
"Dance Team","FY 19",45,"2019-10-23 20:17:31"
"Diversity in Games","FY 19",9,"2019-10-23 20:17:31"
"Engineers Without Borders","FY 19",200,"2019-10-23 20:17:31"
Exploradreams,"FY 19",35,"2019-10-23 20:17:31"
"Fencing Club","FY 19",45,"2019-10-23 20:17:31"
"Fitness Club","FY 19",82,"2019-10-23 20:17:31"
"Freestyle Wrestling Club","FY 19",21,"2019-10-23 20:17:31"
"Freestyle Wrestling Club","FY 20",30,"2019-10-23 20:17:31"
"Game Development Club","FY 19",128,"2019-10-23 20:17:31"
"German Club (Deutschklub)","FY 19",20,"2019-10-23 20:17:31"
"Golf Club","FY 19",102,"2019-10-23 20:17:31"
"Green Team","FY 19",33,"2019-10-23 20:17:31"
"Habitat For Humanity","FY 19",75,"2019-10-23 20:17:31"
"Hellenic Student Association","FY 19",15,"2019-10-23 20:17:31"
Hillel,"FY 19",40,"2019-10-23 20:17:31"
"Hispanic and Caribbean Student Association","FY 19",60,"2019-10-23 20:17:31"
"Inline Hockey Club","FY 19",12,"2019-10-23 20:17:31"
"Institute of Electrical and Electronics Engineers","FY 19",35,"2019-10-23 20:17:31"
"Institute of Industrial and Systems Engineers","FY 19",30,"2019-10-23 20:17:31"
"International Student Council","FY 19",300,"2019-10-23 20:17:31"
"Investing Association","FY 19",20,"2019-10-23 20:17:31"
"Japanese Culture Club","FY 19",40,"2019-10-23 20:17:31"
"Jazz Groups","FY 19",25,"2019-10-23 20:17:31"
"Karate Club","FY 19",30,"2019-10-23 20:17:31"
"Korean Student Association","FY 19",30,"2019-10-23 20:17:31"
"Lacrosse, Men's","FY 19",20,"2019-10-23 20:17:31"
"Lacrosse, Women","FY 19",25,"2019-10-23 20:17:31"
Masque,"FY 19",98,"2019-10-23 20:17:31"
"Material Advantage WPI Chapter","FY 19",50,"2019-10-23 20:17:31"
"Men's Club Basketball","FY 19",16,"2019-10-23 20:17:31"
"Men's Club Rugby","FY 19",20,"2019-10-23 20:17:31"
"Men's Club Volleyball","FY 19",16,"2019-10-23 20:17:31"
"Men's Ice Hockey Team","FY 19",30,"2019-10-23 20:17:31"
"Men's Ultimate Frisbee Club","FY 19",28,"2019-10-23 20:17:31"
"Model United Nations","FY 19",12,"2019-10-23 20:17:31"
"National Society of Black Engineers","FY 19",70,"2019-10-23 20:17:31"
"Newman Club","FY 19",64,"2019-10-23 20:17:31"
"Outing Club","FY 19",206,"2019-10-23 20:17:31"
Peddler,"FY 19",5,"2019-10-23 20:17:31"
"Pep Band","FY 19",105,"2019-10-23 20:17:31"
"Photography Club","FY 19",40,"2019-10-23 20:17:31"
"Pi Mu Epsilon","FY 19",0,"2019-10-23 20:17:31"
"Promotion of Animal Welfare Society","FY 19",300,"2019-10-23 20:17:31"
"Psychology Society","FY 19",12,"2019-10-23 20:17:31"
"Recording Club","FY 19",6,"2019-10-23 20:17:31"
"Residence Hall Council","FY 19",20,"2019-10-23 20:17:31"
Robokids,"FY 19",7,"2019-10-23 20:17:31"
"Robotics Club","FY 19",97,"2019-10-23 20:17:31"
"Rotaract Club","FY 19",15,"2019-10-23 20:17:31"
"Running Club","FY 19",70,"2019-10-23 20:17:31"
"Russian-speaking Students and Scholars Association","FY 19",62,"2019-10-23 20:17:31"
Sailing,"FY 19",30,"2019-10-23 20:17:31"
"Satellite Development Club","FY 19",10,"2019-10-23 20:17:31"
"Science Fiction Society","FY 19",104,"2019-10-23 20:17:31"
"Scuba Dive Club","FY 19",75,"2019-10-23 20:17:31"
"Simple Harmonic Motion","FY 20",16,"2019-10-23 20:17:31"
"Ski & Snowboard Club","FY 19",246,"2019-10-23 20:17:31"
"SocComm Annual Events","FY 19",50,"2019-10-23 20:17:31"
"SocComm Executive","FY 19",16,"2019-10-23 20:17:31"
"SocComm Films","FY 19",50,"2019-10-23 20:17:31"
"SocComm Major and Special Events","FY 19",50,"2019-10-23 20:17:31"
"SocComm Membership and Marketing","FY 19",50,"2019-10-23 20:17:31"
"SocComm Special Events","FY 19",50,"2019-10-23 20:17:31"
"Society for Industrial and Applied Mathematics","FY 19",16,"2019-10-23 20:17:31"
"Society for Medieval Arts and Sciences","FY 19",15,"2019-10-23 20:17:31"
"Society of Asian Scientists and Engineers WPI Chapter","FY 19",11,"2019-10-23 20:17:31"
"Society of Automotive Engineers","FY 19",81,"2019-10-23 20:17:31"
"Society of Fire Protection Engineers","FY 19",9,"2019-10-23 20:17:31"
"Society of Hispanic Professional Engineers","FY 19",51,"2019-10-23 20:17:31"
"Society of Martial Artists","FY 19",104,"2019-10-23 20:17:31"
"Society of Women Engineers","FY 19",70,"2019-10-23 20:17:31"
"South Asian Student Association","FY 19",55,"2019-10-23 20:17:31"
"Special Olympics College Club","FY 20",50,"2019-10-23 20:17:31"
"Spikeball Club","FY 19",37,"2019-10-23 20:17:31"
"Squash Club","FY 19",20,"2019-10-23 20:17:31"
"Student Alumni Society","FY 19",70,"2019-10-23 20:17:31"
"Student Comedy Productions","FY 19",75,"2019-10-23 20:17:31"
"Student Government Association","FY 19",53,"2019-10-23 20:17:31"
"Student Rock Association","FY 19",20,"2019-10-23 20:17:31"
"Students for a Just and Stable Future","FY 19",20,"2019-10-23 20:17:31"
"Students for Life","FY 19",0,"2019-10-23 20:17:31"
"Students Impacting Growth in Member Activities","FY 19",12,"2019-10-23 20:17:31"
"Students Preventing Assault and Rape in our Community","FY 19",3,"2019-10-23 20:17:31"
"Symphonic Association","FY 19",140,"2019-10-23 20:17:31"
"Table Tennis","FY 19",45,"2019-10-23 20:17:31"
"Tech News","FY 19",10,"2019-10-23 20:17:31"
"The Alliance","FY 19",50,"2019-10-23 20:17:31"
"Turkish Student Association","FY 19",25,"2019-10-23 20:17:31"
"Underwater Hockey","FY 19",54,"2019-10-23 20:17:31"
"Vegetarian Club","FY 19",15,"2019-10-23 20:17:31"
"Vietnamese Student Association","FY 19",30,"2019-10-23 20:17:31"
"VOX Musical Theatre","FY 19",120,"2019-10-23 20:17:31"
"Water Polo Club","FY 19",25,"2019-10-23 20:17:31"
"We Art Good (Mural Club)","FY 19",11,"2019-10-23 20:17:31"
"Wireless Association","FY 19",24,"2019-10-23 20:17:31"
"Women in Electrical and Computer Engineering","FY 19",6,"2019-10-23 20:17:31"
"Women in Robotics Engineering","FY 19",35,"2019-10-23 20:17:31"
"Women's Club Rugby","FY 19",30,"2019-10-23 20:17:31"
"Women's Club Volleyball","FY 19",60,"2019-10-23 20:17:31"
"Women's Ultimate Frisbee Club","FY 19",30,"2019-10-23 20:17:31"
"WPI Students Mentoring Active Responsibility Together","FY 19",14,"2019-10-23 20:17:31"
"WWPI Campus Radio","FY 19",40,"2019-10-23 20:17:31"
